doc_id,DEPTH,EQUIPMENT,MEASUREMENT_BAR,MEASUREMENT_DEG,MEASUREMENT_KNM,MEASUREMENT_LPM,MEASUREMENT_M3,MEASUREMENT_MT,MEASUREMENT_RPM,MEASUREMENT_SG,TIME_REF
15_9_19_BT2_1998_01_01.pdf,48,110,48,0,0,0,0,0,0,0,12
15_9_19_BT2_1998_01_02.pdf,195,12,0,36,0,0,0,0,12,0,0
15_9_19_BT2_1998_01_03.pdf,180,12,0,24,0,0,0,0,0,0,0
15_9_19_BT2_1998_01_04.pdf,161,12,12,0,0,0,0,0,0,0,12
15_9_19_BT2_1998_01_05.pdf,64,36,0,0,0,0,0,0,0,0,12
15_9_19_BT2_1998_01_06.pdf,108,0,0,0,0,0,0,0,0,0,12
15_9_19_BT2_1998_01_07.pdf,132,12,12,0,0,0,0,0,0,0,0
15_9_19_BT2_1998_01_08.pdf,120,0,0,0,0,0,0,0,0,0,0
15_9_19_BT2_1998_01_09.pdf,79,39,0,0,0,0,0,0,0,0,0
15_9_19_BT2_1998_01_10.pdf,125,61,0,0,0,0,0,0,0,0,0
15_9_19_BT2_1998_01_11.pdf,108,25,0,0,0,0,0,0,0,0,0
15_9_19_BT2_1998_01_12.pdf,12,26,0,0,0,0,0,0,0,0,0
15_9_19_BT2_1998_01_13.pdf,48,14,0,0,0,0,0,0,0,0,0
15_9_19_BT2_1998_01_14.pdf,12,38,12,0,0,12,0,0,0,0,0
15_9_19_BT2_1998_01_15.pdf,0,63,0,0,0,0,0,0,0,0,12
15_9_19_BT2_1998_01_16.pdf,0,24,36,0,0,36,0,12,0,0,12
15_9_19_BT2_1998_01_17.pdf,61,0,24,0,0,24,0,12,0,0,24
15_9_19_BT2_1998_01_18.pdf,48,24,36,0,0,36,0,0,0,0,0
15_9_19_BT2_1998_01_19.pdf,48,12,0,0,0,0,0,12,0,0,0
15_9_19_BT2_1998_01_20.pdf,84,36,12,0,0,12,0,0,0,0,13
15_9_19_BT2_1998_01_21.pdf,24,108,24,0,0,0,0,12,0,0,24
15_9_19_BT2_1998_01_22.pdf,162,36,84,0,0,60,0,60,0,108,24
15_9_19_BT2_1998_01_23.pdf,86,61,36,0,0,24,0,0,0,48,12
15_9_19_BT2_1998_01_24.pdf,64,36,18,0,0,0,0,9,0,36,63
15_9_19_BT2_1998_01_25.pdf,51,100,20,0,0,30,0,0,10,20,20
15_9_19_BT2_1998_01_26.pdf,100,90,40,0,0,10,0,20,0,40,10
15_9_19_BT2_1998_01_27.pdf,62,20,0,0,0,0,0,0,0,10,10
15_9_19_BT2_1998_01_28.pdf,82,23,11,0,0,0,0,11,0,22,11
15_9_19_BT2_1998_01_29.pdf,86,71,30,0,0,20,0,10,10,10,10
15_9_19_BT2_1998_01_30.pdf,48,85,24,0,0,0,0,0,0,12,12
15_9_19_BT2_1998_01_31.pdf,12,13,0,0,0,0,0,0,0,0,0
15_9_19_BT2_1998_02_01.pdf,60,61,0,0,0,0,0,0,0,0,12
15_9_19_BT2_1998_02_02.pdf,12,15,0,0,0,0,0,0,0,0,38
15_9_19_BT2_1998_02_03.pdf,70,0,0,0,0,0,0,0,0,0,50
15_9_19_BT2_1998_02_04.pdf,120,0,0,20,0,0,0,0,0,0,121
