doc_id,rank,keyword,tfidf_score
15_9_19_A_1997_08_04.pdf,5,oriented,0.207252
15_9_19_A_1997_08_04.pdf,6,stand drilled,0.203141
15_9_19_A_1997_08_04.pdf,7,drilled oriented,0.195847
15_9_19_A_1997_08_04.pdf,8,motor mwd,0.192906
15_9_19_A_1997_08_04.pdf,9,amount cuttings,0.187421
15_9_19_A_1997_08_04.pdf,10,mwd rih,0.18267
15_9_19_A_1997_08_04.pdf,11,insert,0.180513
15_9_19_A_1997_08_04.pdf,12,toolface,0.176556
15_9_19_A_1997_08_04.pdf,13,amount,0.168244
15_9_19_A_1997_08_04.pdf,14,last stand,0.165396
15_9_19_A_1997_08_04.pdf,15,slick,0.162759
15_9_19_A_1997_08_05.pdf,1,short,0.23737
15_9_19_A_1997_08_05.pdf,2,boosted,0.191668
15_9_19_A_1997_08_05.pdf,3,boosted riser,0.191668
15_9_19_A_1997_08_05.pdf,4,bha change,0.186094
15_9_19_A_1997_08_05.pdf,5,bit bha,0.178435
15_9_19_A_1997_08_05.pdf,6,oriented drilled,0.165065
15_9_19_A_1997_08_05.pdf,7,excessive amount,0.161368
15_9_19_A_1997_08_05.pdf,8,window,0.160896
15_9_19_A_1997_08_05.pdf,9,casing window,0.158106
15_9_19_A_1997_08_05.pdf,10,corrected,0.158106
15_9_19_A_1997_08_05.pdf,11,down last,0.152549
15_9_19_A_1997_08_05.pdf,12,pdc bit,0.152549
15_9_19_A_1997_08_05.pdf,13,pdc,0.15014
15_9_19_A_1997_08_05.pdf,14,oriented,0.147511
15_9_19_A_1997_08_05.pdf,15,amount cuttings,0.145871
15_9_19_A_1997_08_06.pdf,1,tih,0.25354
15_9_19_A_1997_08_06.pdf,2,scrs,0.232668
15_9_19_A_1997_08_06.pdf,3,circulating bottoms,0.227965
15_9_19_A_1997_08_06.pdf,4,casing window,0.227965
15_9_19_A_1997_08_06.pdf,5,corrected,0.227965
15_9_19_A_1997_08_06.pdf,6,hrs drilled,0.227965
15_9_19_A_1997_08_06.pdf,7,continued tih,0.219953
15_9_19_A_1997_08_06.pdf,8,completed,0.199771
15_9_19_A_1997_08_06.pdf,9,gas,0.187503
15_9_19_A_1997_08_06.pdf,10,last stand,0.185608
15_9_19_A_1997_08_06.pdf,11,decreased,0.178585
15_9_19_A_1997_08_06.pdf,12,drillstring,0.178585
15_9_19_A_1997_08_06.pdf,13,right,0.169419
15_9_19_A_1997_08_06.pdf,14,window,0.164602
15_9_19_A_1997_08_06.pdf,15,deg,0.164602
15_9_19_A_1997_08_07.pdf,1,until shakers,0.240215
15_9_19_A_1997_08_07.pdf,2,shakers cleaned,0.236421
15_9_19_A_1997_08_07.pdf,3,drilled drilled,0.23293
15_9_19_A_1997_08_07.pdf,4,circulated until,0.216383
15_9_19_A_1997_08_07.pdf,5,because,0.216383
15_9_19_A_1997_08_07.pdf,6,boosted riser,0.214146
15_9_19_A_1997_08_07.pdf,7,boosted,0.214146
15_9_19_A_1997_08_07.pdf,8,amount,0.206196
15_9_19_A_1997_08_07.pdf,9,increase,0.191195
15_9_19_A_1997_08_07.pdf,10,shakers,0.181103
15_9_19_A_1997_08_07.pdf,11,excessive amount,0.180292
15_9_19_A_1997_08_07.pdf,12,returns circulated,0.176648
15_9_19_A_1997_08_07.pdf,13,flushed choke,0.173388
15_9_19_A_1997_08_07.pdf,14,cavings,0.17044
15_9_19_A_1997_08_07.pdf,15,drag,0.16552
15_9_19_A_1997_08_08.pdf,1,stabilizers,0.235827
15_9_19_A_1997_08_08.pdf,2,boosted,0.202845
15_9_19_A_1997_08_08.pdf,3,boosted riser,0.202845
15_9_19_A_1997_08_08.pdf,4,circ btm,0.170778
15_9_19_A_1997_08_08.pdf,5,excessive amount,0.170778
15_9_19_A_1997_08_08.pdf,6,size,0.167326
15_9_19_A_1997_08_08.pdf,7,until shakers,0.161445
15_9_19_A_1997_08_08.pdf,8,cavings,0.161445
15_9_19_A_1997_08_08.pdf,9,shakers cleaned,0.158895
15_9_19_A_1997_08_08.pdf,10,circ,0.157536
15_9_19_A_1997_08_08.pdf,11,target,0.154377
15_9_19_A_1997_08_08.pdf,12,hanging,0.150464
15_9_19_A_1997_08_08.pdf,13,preparation,0.147012
15_9_19_A_1997_08_08.pdf,14,stalling,0.147012
15_9_19_A_1997_08_08.pdf,15,large,0.147012
15_9_19_A_1997_08_09.pdf,1,signals,0.212641
15_9_19_A_1997_08_09.pdf,2,btm,0.159097
15_9_19_A_1997_08_09.pdf,3,mwd,0.158248
15_9_19_A_1997_08_09.pdf,4,continue rih,0.155838
15_9_19_A_1997_08_09.pdf,5,slip cut,0.149942
15_9_19_A_1997_08_09.pdf,6,got,0.14952
15_9_19_A_1997_08_09.pdf,7,new mwd,0.14545
15_9_19_A_1997_08_09.pdf,8,cut line,0.143116
15_9_19_A_1997_08_09.pdf,9,down mwd,0.138607
15_9_19_A_1997_08_09.pdf,10,tool face,0.138607
15_9_19_A_1997_08_09.pdf,11,ako degr,0.138607
15_9_19_A_1997_08_09.pdf,12,circ btm,0.138607
15_9_19_A_1997_08_09.pdf,13,oriented,0.138553
15_9_19_A_1997_08_09.pdf,14,window,0.138202
15_9_19_A_1997_08_09.pdf,15,oriented mode,0.135805
15_9_19_A_1997_08_10.pdf,1,csg window,0.262775
15_9_19_A_1997_08_10.pdf,2,samples,0.251354
15_9_19_A_1997_08_10.pdf,3,tool face,0.211618
15_9_19_A_1997_08_10.pdf,4,break circ,0.211618
15_9_19_A_1997_08_10.pdf,5,window,0.210999
15_9_19_A_1997_08_10.pdf,6,current continued,0.207341
15_9_19_A_1997_08_10.pdf,7,fill,0.200518
15_9_19_A_1997_08_10.pdf,8,obstructions,0.196894
15_9_19_A_1997_08_10.pdf,9,face,0.196894
15_9_19_A_1997_08_10.pdf,10,circ,0.19521
15_9_19_A_1997_08_10.pdf,11,enter,0.193987
15_9_19_A_1997_08_10.pdf,12,new bit,0.186447
15_9_19_A_1997_08_10.pdf,13,current,0.180206
15_9_19_A_1997_08_10.pdf,14,bit rih,0.178343
15_9_19_A_1997_08_10.pdf,15,check,0.171606
15_9_19_A_1997_08_11.pdf,1,geological samples,0.321289
15_9_19_A_1997_08_11.pdf,2,geological,0.321289
15_9_19_A_1997_08_11.pdf,3,boosted,0.283103
15_9_19_A_1997_08_11.pdf,4,boosted riser,0.283103
15_9_19_A_1997_08_11.pdf,5,samples,0.241986
15_9_19_A_1997_08_11.pdf,6,circ,0.230268
15_9_19_A_1997_08_11.pdf,7,circ clean,0.206757
15_9_19_A_1997_08_11.pdf,8,break circ,0.203731
15_9_19_A_1997_08_11.pdf,9,break,0.202028
15_9_19_A_1997_08_11.pdf,10,constant,0.199613
15_9_19_A_1997_08_11.pdf,11,sample,0.179498
15_9_19_A_1997_08_11.pdf,12,condition,0.149256
15_9_19_A_1997_08_11.pdf,13,spot,0.141825
15_9_19_A_1997_08_11.pdf,14,used,0.141089
15_9_19_A_1997_08_11.pdf,15,riser,0.139617
15_9_19_A_1997_08_12.pdf,1,below bop,0.208642
15_9_19_A_1997_08_12.pdf,2,bha below,0.208642
15_9_19_A_1997_08_12.pdf,3,yellow,0.170189
15_9_19_A_1997_08_12.pdf,4,yellow pod,0.170189
15_9_19_A_1997_08_12.pdf,5,geological samples,0.161936
15_9_19_A_1997_08_12.pdf,6,geological,0.161936
15_9_19_A_1997_08_12.pdf,7,pod,0.152309
15_9_19_A_1997_08_12.pdf,8,coring,0.151173
15_9_19_A_1997_08_12.pdf,9,circ,0.150715
15_9_19_A_1997_08_12.pdf,10,ako degr,0.144722
15_9_19_A_1997_08_12.pdf,11,break circ,0.144722
15_9_19_A_1997_08_12.pdf,12,memory mwd,0.144722
15_9_19_A_1997_08_12.pdf,13,btm,0.14199
15_9_19_A_1997_08_12.pdf,14,dump,0.141797
15_9_19_A_1997_08_12.pdf,15,downloaded,0.13918
15_9_19_A_1997_08_13.pdf,1,wash ream,0.207133
15_9_19_A_1997_08_13.pdf,2,coring,0.194616
15_9_19_A_1997_08_13.pdf,3,away,0.193399
